program	threads	steps	size	time(s)
omp	1	100000	1000	1331.956969
omp	1	100000	100	12.819621
omp	1	100000	2000	5374.222172
omp	1	10000	1000	135.606736
omp	1	10000	100	1.296468
omp	1	10000	2000	583.12579
omp	1	1000	1000	14.936403
omp	1	1000	100	0.151429
omp	1	1000	2000	59.242891
omp	1	100	1000	1.667607
omp	1	100	100	0.023784
omp	1	100	2000	6.344592
omp	2	100000	1000	687.403504
omp	2	100000	100	6.75271
omp	2	100000	2000	2820.720803
omp	2	10000	1000	70.097145
omp	2	10000	100	0.691538
omp	2	10000	2000	300.843573
omp	2	1000	1000	7.899948
omp	2	1000	100	0.08076
omp	2	1000	2000	31.113219
omp	2	100	1000	1.007961
omp	2	100	100	0.014906
omp	2	100	2000	3.766311
omp	4	100000	1000	358.492834
omp	4	100000	100	3.657432
omp	4	100000	2000	1440.691108
omp	4	10000	1000	36.68247
omp	4	10000	100	0.375628
omp	4	10000	2000	157.136858
omp	4	1000	1000	4.287486
omp	4	1000	100	0.047042
omp	4	1000	2000	16.738927
omp	4	100	1000	0.621634
omp	4	100	100	0.010339
omp	4	100	2000	2.432052
omp	8	100000	1000	377.120077
omp	8	100000	100	7.254863
omp	8	100000	2000	1493.628449
omp	8	10000	1000	39.480683
omp	8	10000	100	0.765333
omp	8	10000	2000	166.913589
omp	8	1000	1000	4.538504
omp	8	1000	100	0.08615
omp	8	1000	2000	17.468413
omp	8	100	1000	0.670591
omp	8	100	100	0.015886
omp	8	100	2000	2.452237
serial	1	100000	1000	1072.98
serial	1	100000	100	10.18
serial	1	100000	2000	4310.41
serial	1	10000	1000	109.6
serial	1	10000	100	1.02
serial	1	10000	2000	476.73
serial	1	1000	1000	12.37
serial	1	1000	100	0.11
serial	1	1000	2000	48.66
serial	1	100	1000	1.34
serial	1	100	100	0.01
serial	1	100	2000	5.33
serial	2	100000	1000	1070.27
serial	2	100000	100	10.19
serial	2	100000	2000	4308.48
serial	2	10000	1000	109.43
serial	2	10000	100	1.03
serial	2	10000	2000	477.34
serial	2	1000	1000	12.48
serial	2	1000	100	0.11
serial	2	1000	2000	48.75
serial	2	100	1000	1.44
serial	2	100	100	0.01
serial	2	100	2000	5.37
serial	4	100000	1000	1071.05
serial	4	100000	100	10.17
serial	4	100000	2000	4309.48
serial	4	10000	1000	109.64
serial	4	10000	100	1.03
serial	4	10000	2000	476.79
serial	4	1000	1000	12.49
serial	4	1000	100	0.11
serial	4	1000	2000	48.71
serial	4	100	1000	1.38
serial	4	100	100	0.01
serial	4	100	2000	5.38
serial	8	100000	1000	1071.64
serial	8	100000	100	10.18
serial	8	100000	2000	4308.42
serial	8	10000	1000	109.48
serial	8	10000	100	1.03
serial	8	10000	2000	476.99
serial	8	1000	1000	12.4
serial	8	1000	100	0.11
serial	8	1000	2000	48.63
serial	8	100	1000	1.43
serial	8	100	100	0.01
serial	8	100	2000	5.38
